qid,model,prompt,resp
0,ground_truth,"請給出摘要：
佛蒙特州運輸局宣布，40年前從佛蒙特州火車站遭竊的一座古老銅風向儀已被尋獲，並已於上週歸還該州。
這座1910年的風向儀是一台蒸汽火車頭加上運煤車，由W.A.白雪鋼鐵廠股份有限公司製造。該運輸局週二說，1983年11月3日失竊以前，它座落於哈特福德鎮白河交匯區車站的頂部。官員說，近40年後，它被託付給紐約拍賣行「蘇富比」。
該運輸局說，載有丟失、遭竊和被掠奪的藝術品、古董和收藏品數據庫的「失竊藝術品登錄」組織確認，這件作品是那座被盜的風向儀，因此該拍賣行將其下架。
該州目前轄有白河交匯區車站。該運輸局說，「失竊藝術品登錄」與州政府合作，上週歸還了風向儀。",
1,ground_truth,"幫我找出摘要：
日產與本田同意合作開發電動車
日產汽車與本田汽車已簽署一項合作開發電動車的協議，力圖與其他已建立類似合作關係的日本汽車製造商匹敵。
這兩家汽車製造商將討論如何使用同樣的主要零件，或一起採購用於電動車開發的零件，以降低成本。
日本汽車製造商在電動車銷售上落後美國與中國的業者，主因在於日企長年生產油車。
除此之外，本田還提出從2040年起只銷售電動車或燃料電池車的目標。",
2,ground_truth,"能幫我把以下文章給出摘要嗎？
微軟週四表示，由於美中雙方在人工智慧、半導體等科技領域的關係日益緊張，該公司正要求部分駐中國員工考慮轉調至其他國家工作。
《華爾街日報》援引知情人士的話報導，這些員工多為中國籍工程師，本週稍早該公司已向他們開放可轉調至美國、愛爾蘭、澳洲和紐西蘭的選擇。
此舉緣於美中關係持續惡化，美國總統拜登政府近期對多項中國進口商品加徵關稅，包括電動車（EV）電池、電腦晶片和醫療產品等。",
3,ground_truth,"請將這段中文給出摘要：
漢莎航空公司地勤人員在一連串影響嚴重的罷工行動後，達成一份協議，將獲得平均加薪12.5％，這家德國航空巨擘週四說。
這家航空公司和代表約2萬5000名地勤人員的德國服務業工會，週三終於達成協議，避免了在復活節假期新一波罷工的風險。
這項12.5％的加薪幅度符合該工會的要求，將在2年期間分2階段實施。
受僱者也將獲得3000歐元津貼，來協助對抗高通貨膨脹，以及改善其他方面的福利，包括額外的假日工資和彈性工時。",
4,ground_truth,"我需要一個中文的摘要：
在矢志贏得半導體產業的「戰爭」後，南韓財政部長週日表示，南韓準備推出規模逾10兆韓元（73億美元）的晶片投資與研究支持方案。
該計畫可能包含提供政策貸款，以及由國家與民間金融機構出資成立一個新基金。南韓也正在首都首爾以南的龍仁市興建一個超大晶片聚落，該聚落號稱是世界最大的相關高科技綜合群中心。
韓國總統尹錫悅矢志傾注所有可能資源來贏得晶片「戰爭」，承諾為投資提供稅收優惠。",
5,ground_truth,"請給出摘要：
為了減少湧入運河的人潮，威尼斯成為全球首個引進觀光客收費機制的城市。但這項費用引來了部分居民的抗議，稱他們不想住在主題樂園裡。
火車站外頭和鄰近人行天橋路口處設立了告示，提醒訪客在進入威尼斯的狹窄巷弄前必須支付5歐元的新費用。
居民克里絲提納．羅邁里表示，「我們反對這項措施是因為這無助阻止過度旅遊」、「而且，如此複雜的規範，有著這麼多的例外，會使得執法難以落實。」
當地官員提到，去年有約2000萬人造訪威尼斯。約半數會在旅館或度假屋過夜。湧入的人群讓目前約4.9萬的居民人數相形見絀。",
6,ground_truth,"我需要一個摘要：
3月6日是綠色小機器人上工為日本Uber Eats送餐的首日，可以看到它們在東京日本橋一帶沿街緩慢前行的身影。
該公司計畫將使用自駕機器人（送餐）的範圍，擴展到更多有送餐人力短缺問題的地區。
「我們期望該機器人能成為補充人力送餐的解方之一，」該公司1名官員在簡述所謂的「2024年問題」—即預期物流業將缺工—時如是說。
日本是繼美國之後，Uber Eats第2個推出機器人送餐服務的國家。",
7,ground_truth,"幫我找出摘要：
擔心人員流動或想知道新員工能堅持多久的老闆，現在可以求助於人工智慧，以預先留意即將離職的人。
這項人工智慧工具是由日本研究人員所研發，旨在幫助管理層為員工提供針對性的支援，阻止他們辭職。
這項工具由東京都市大學教授白鳥成彥與東京一家新創公司創建，可以處理公司員工的數據，從出勤紀錄到年齡、性別等個人資訊。
該工具還會分析離職或請假員工的數據，為每家公司建立人員流動模型。
媒體教育專家白鳥告訴法新社，當輸入新員工的資料時，它會「以百分比的形式」預測誰有辭職的風險。",
8,ground_truth,"我需要一個中文的摘要：
科學家週四報告一些動物如何嘗試以野外發現的療法，來緩解自身疾病的最新實例：一隻紅毛猩猩似乎用熱帶植物的藥物，來治療傷口。
科學家觀察到，Rakus採摘並嚼碎一種人們在整個東南亞地區用來治療疼痛和炎症的藥用植物的葉子。這隻成年雄紅毛猩猩隨後以手指，將植物汁塗抹在右側臉頰的傷口上，然後將嚼碎的植物壓在傷口上，像臨時繃帶一樣覆蓋開放性傷口，根據最新一期《科學報告》期刊的研究。
先前的研究記錄了幾種大型猿類在森林中尋找藥物自我治療的現象，但科學家還未見過動物以這種方式自療。",
9,ground_truth,"我需要一個中文的摘要：
在古羅馬龐貝城進行的挖掘工作中發現了一間飯廳，黑色牆面上繪有以特洛伊戰爭為發想的2000年歷史畫作。
龐貝考古??公園表示，飯廳格局長約15公尺、寬6公尺。從奧古斯都皇帝時期的壁畫和馬賽克的特質，以及人物的挑選來看，顯示它是用於宴會場合。
西元79年維蘇威火山爆發後，龐貝城及其周邊村落被掩埋在火山灰之下，成千上萬的羅馬人喪生，他們全然不知自己生活在歐洲最大火山之一下方。
根據希臘神話，卡珊卓從阿波羅得到預言天賦後，預測了特洛伊戰爭的爆發，但沒有人相信她。這是因為她拒絕獻身給阿波羅，所以阿波羅對她下了詛咒。",
10,ground_truth,"請將這段中文給出摘要：
攀登富士山此一年度挑戰本季將變得更貴，外加大砍每日獲准登山的人數。
（日本）山梨縣縣議會3月4日無異議通過的一項條例規定，從該縣的吉田路線攀登這座日本最高峰，要繳2千日圓的通行費。
在該條例的施行規則中，該縣還計劃將每日登山人數限制在4千人。該新規定將在今夏生效，以緩解登山擁塞。
登山客若不在設置於富士山五合目的檢查哨繳費，將被禁止從吉田路線登山。",
11,ground_truth,"請將這段中文給出摘要：
桑妮為自己是1名守法的新加坡公民而自豪，但在過去3年裡，她一直藏匿1隻名叫「月餅」的逃亡貓。
這隻毛茸茸的布偶貓與桑妮住在一起，違反1項已有34年歷史的法律，該法律禁止貓進入政府建造的公寓，而絕大多數新加坡人都住在政府建造的公寓。
對「月餅」來說，幸運的是，新加坡計畫在今年稍後廢除這項禁令，讓桑妮免受4000新幣罰款，或她的寵物可能被驅逐的威脅。
30歲的桑妮說：「貓比狗安靜多了。如果政府允許養狗，我不懂為何不能養貓。」
當局很少執行這項禁令，該禁令只適用於新加坡建屋發展局規劃的高層公寓大樓；360萬名新加坡人中，有80％居住在這類公寓大樓，無數愛貓人士長期以來一直蔑視這項禁令。",
12,ground_truth,"幫我找出摘要：
上個秋季成為全球頭條的一場巴黎床蝨恐慌，是被和俄羅斯「假資訊」行動有關聯的社群媒體帳號人為放大的，法國一名部長週五說。
法國歐洲事務部長尚—諾爾‧巴霍向TF1電視台說，「這場床蝨論戰，很大一部份是被和克里姆林宮有關聯的帳號放大，他們甚至捏造烏克蘭難民入境和床蝨蔓延之間的連結」。
在社群媒體用戶發表這些蟲子在高鐵和巴黎捷運四處爬的影像後，法國和外國媒體廣泛報導了這場驚慌。
被問到政府是否相信，俄羅斯帳號「策劃」這起恐慌，巴霍並未證實，但他說這場假資訊行動，帶著製造一種不安情緒的目的，「放大了」既有的恐懼。",
13,ground_truth,"請給出摘要：
摩根大通執行長傑米‧戴蒙說，他希望聯準會能在不引發衰退的情形下降低通膨，但不排除更令人不安的可能性，比如停滯性通膨。
在接受美聯社的訪問中，戴蒙說，他對於美國經濟仍持「謹慎」態度，並表示，更具黏性的通膨或許持續較長時間，而在美國經濟可能發生的事項上，停滯性通膨榜上有名。
戴蒙確實強調他仍「希望」美國經濟經歷軟著陸，亦即經濟成長放緩，但避免步入衰退，即使通膨仍有一點高，但他不確定那是最可能出現的結果。",
14,ground_truth,"請給出摘要：
美國食品暨藥物管理局（FDA）的加速批准計畫，旨在讓患者儘早獲得可能有效的藥物。但是，這些藥物實際上多久能改善或延長患者的生命呢？
在一項新研究中，研究人員發現，大多數獲得加速批准的抗癌藥物，在隨後5年內並未證實其療效。
該計畫創建於1992年，旨在加快獲得用於治療愛滋病毒藥物的速度。如今，85％的加速批准用於抗癌藥物。
這項新研究發現，在2013年至2017年期間，有46種抗癌藥物獲得加速批准。其中，63％轉為常規批准，儘管只有43％在驗證性試驗中顯示臨床益處。",
15,ground_truth,"我需要一個中文的摘要：
聖週期間商店裡雞蛋短缺，導致挪威人湧向瑞典邊境的超市，囤積傳統的復活節食品。
挪威新聞媒體「網路報」週四說，首都奧斯陸以南約100公里位於邊境附近的瑞典「諾德比」購物中心，擠滿了「奮不顧身」的挪威人，他們試圖囤積雞蛋。
該新聞媒體報導，該購物中心的「Maxi-Mat」食品店雞蛋告罄，而一旁的「諾德比超市」不得不將每戶購買雞蛋數量限制為3盒20顆裝。
擔心挪威雞蛋產量過剩，農民因而獲得減少雞蛋產量的補償。根據新聞報導，這種情況以及禽流感的影響，導致雞蛋短缺。",
16,ground_truth,"我需要一個摘要：
約翰和美樂蒂‧軒尼詩選擇了令人興奮且划算的永久性郵輪生活，他們計畫住在一艘獨一無二的住宅式郵輪上，目前正環遊世界。
來自佛羅里達州的76歲約翰和64歲美樂蒂，在3年前賣掉幾乎所有財產，包括主要的事業和房屋。
根據《天空新聞》報導，這對眷侶目前航行到多明尼加共和國附近。
就像他們的海上新生活更令人興奮一樣，生活成本更便宜也讓這一切很值得。
「我們不再有貸款或住房費用，我們不再有車險、財險或水電費。我們確信郵輪生活更省錢，現在的開銷可能接近我們生活在陸地上的一半。」",
17,ground_truth,"我需要一個摘要：
（美國電視脫口秀主持人）喬恩．史都華週一在《每日秀》節目上淚別愛犬「迪普」，迅速讓「迪普」出身的那家紐約市的動物收容所收到大量捐款。5天後，捐款仍源源不絕。
「我們（收到的捐款）逼近5萬美元」，動物收容所「動物天堂」的執行長蒂芬妮．雷西週五告訴哥倫比亞廣播公司新聞。
雷西還說：「這（大量湧入的捐款）是緬懷『迪普』，所以捐款將用於狗的身上，」特別是看獸醫、接受訓練、採買狗食與零嘴。
這家位於（紐約市）曼哈頓、主張不撲殺的動物收容所的營運預算約有300萬美元，目前收容約100隻犬貓。",
18,ground_truth,"能幫我把以下文章給出摘要嗎？
2023年日本新生兒人數連續第8年下跌，達到新低紀錄，週二的政府初步數據顯示，凸顯該國在設法遏止人口減少上，面臨艱鉅任務。
這項出生人數比前一年減少5.1％，減至75萬8631人，同時結婚人數下滑5.9％至48萬9281對，是90年來首次低於50萬對，由於日本非婚生子相當罕見，因此這預示人口將進一步減少。
內閣官房長官林芳正向記者說，「出生率減少處於危急情況」，「到2030年為止的接下來6年左右，將是逆轉這個趨勢的最後機會，屆時年輕人數量會急遽減少」。",
19,ground_truth,"我需要一個中文的摘要：
底特律郊區一處公園週五下起棉花糖雨，孩子們爭相搶奪從直升機投下的成千上萬塊黏糊糊零食。
由奧克蘭郡公園處主辦，一年一度的「棉花糖大降落」活動在紹斯菲爾德的梓櫟郡公園舉行。
那架直升機飛往降落區的途中經過時，成百上千名兒童揮手歡呼。到達後，一名乘客把零食從一個袋子倒到下方草地上，然後孩子們衝過去領取它們。
3個孩子都是「棉花糖大降落」參與者且其中一個參加了保留給身障兒童的特別空投，3寶媽羅賓．金尼說，「這只是一場慶祝活動。天氣很好，所以我們很高興能到戶外互動並撿些棉花糖」。
金尼說，「作為一名有特殊需求的媽媽，我喜歡看到這類迎合他的活動，這樣他就不會覺得被排除在外。」",
20,ground_truth,"我需要一個中文的摘要：
（日本）新幹線的退役餐飲推車將出售，客群鎖定一小撮懷舊、願為每輛要價10萬日元的餐車買單的鐵道迷。
50輛待售的餐飲推車曾在東海道新幹線服役5到9年直至2023年，為子彈列車的乘客提供餐飲。
在鐵道營運業者做出令許多乘客沮喪的終止該路線的餐飲服務的決定後，這些餐飲推車在去年10月退役。
東海道新幹線的餐飲服務始於1964年該路線開通後不久，提供點心、便當、咖啡，以及深受喜愛的冰淇淋。",
21,ground_truth,"能幫我把以下文章給出摘要嗎？
紐西蘭開設該國第一家專門治療奇異鳥的醫院，而且獸醫已經照料首名患者恢復健康—一隻跌進游泳池、被暱稱為「嘩啦」的雛鳥。
這種一度瀕危的國鳥數量增加，促使在奧克蘭以北、開車3小時的凱里凱里設立這間專門設施。
這家療養中心位於北地大區心臟地帶，該地區的北島褐鷸鴕族群數量將近1萬隻。
保育部說，奇異鳥族群增加，是掠食動物管理成功的成果，「但沒有持續努力，北島褐鷸鴕很容易就又回到受威脅地位」。",
22,ground_truth,"幫我找出摘要：
多名聯邦儲備（銀行）官員強調，沒有降息的急迫性，他們提及仍居高不下的通膨，以及穩健的勞動市場。
做出這些評論的包括波士頓聯邦儲備銀行的科林斯，與舊金山的達利。亞特蘭大的波斯提克重申今年底降息1次的觀點，堪薩斯城的施密德則提到他偏向「耐心」的降息方式。
「在我看來，絕對沒有調整政策利率的急迫性」，達利在舊金山一場活動上說。
施密德也表示，決策者應等待「明確且令人信服」的證據，顯示降息之前，通膨朝著2％回落，而非搶先調整政策。",
23,ground_truth,"能幫我把以下文章給出摘要嗎？
埃及一本寫於基督教黎明之時的書籍，被視為現存最古老書本之一，將在六月於倫敦進行拍賣。
據佳士得說法，西元250至350年間，克羅斯比-舒延手抄本在早期的一間基督教修道院中，以科普特語在莎草紙上寫成。預估拍出價格為260萬至380萬美元。
這本104頁（52張）的手抄本由一名抄寫員於上埃及的一座修道院中花費40年著書。現在保存在有機玻璃後。手抄本包含了彼得前書和約拿書。
手抄本於1950年代從埃及出土，由密西西比大學取得並保有至1981年。挪威手抄本蒐集家馬丁．舒延博士在1988年取得。如今與其它的舒延收藏一些精品品項一同拍賣。舒延收藏是全世界最具規模的私人手抄本收藏之一。",
